id,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
D10M44,1,0,B,-,-,B,H,H,H,H,A,B,A,A,A,H,A,H,A,B,H,H,H,B,A,H,-,-,-,-,H,A,A,A,B,B,B,H,H,B,B,H,B,A,B,H,A,H,H,H,H,-,B,-,A,B,A,H,H,B,H,H,B,H,H,H,A,H,H,H,A,H,H,B,H,-,B,-,H,-,A,A,H,B,H,H,H,H,A,B,A,H,A,H,-,-,-,H,-,-,-,B,A,A,-,B,-,A,B,B,H,A,B,H,A,H,B,H,A,H,A,A
D1M3,1,0.99675,B,B,H,B,H,H,H,H,A,B,H,A,A,H,A,H,A,B,H,H,H,B,A,H,H,H,H,H,H,A,A,A,B,B,B,H,H,B,B,B,B,A,B,H,A,H,H,H,H,H,B,B,-,B,-,H,-,B,H,H,B,H,H,H,A,H,H,H,A,H,H,B,H,H,B,H,H,H,A,A,H,B,H,H,H,H,A,B,A,H,A,H,H,H,H,H,A,H,B,B,A,A,B,B,H,H,B,B,H,A,B,H,A,H,B,H,A,H,A,A
D1M75,1,24.84773,B,B,H,H,H,B,H,H,H,H,H,H,H,A,H,B,A,H,A,H,H,H,A,H,H,B,H,H,H,A,H,H,H,B,B,B,H,B,H,B,B,A,B,H,A,A,H,A,H,H,B,B,H,B,H,B,H,B,H,H,B,H,H,H,H,H,H,A,A,H,H,B,H,-,H,A,H,H,H,A,B,A,H,H,H,B,A,B,H,H,-,-,-,-,-,-,-,-,-,-,-,-,B,B,-,-,B,B,B,-,-,-,-,-,B,-,-,B,-,-
D1M215,1,40.41361,H,B,H,H,H,B,H,H,B,H,H,H,H,A,H,B,A,H,H,H,A,H,A,-,H,H,H,A,A,H,H,H,A,B,B,B,H,B,H,B,B,A,A,B,H,A,B,A,H,A,B,B,A,B,H,H,H,B,H,H,B,H,H,H,H,B,H,A,A,H,H,B,H,H,H,A,H,B,B,H,-,A,H,H,H,B,H,B,A,H,H,H,H,H,B,H,H,H,H,A,H,H,B,H,H,B,B,H,B,H,-,H,A,A,B,B,B,B,A,H
D1M309,1,49.99468,H,H,H,H,B,B,A,A,B,A,H,H,H,A,H,B,A,-,H,A,A,H,A,H,H,H,H,A,-,H,H,B,A,B,B,B,H,B,A,B,B,A,A,B,H,A,B,A,H,A,B,B,A,B,B,H,A,B,H,A,B,H,B,H,H,B,H,A,A,H,H,B,H,H,H,H,B,B,B,H,H,A,H,H,H,B,A,B,H,H,H,H,H,A,B,H,H,H,A,A,H,H,B,H,H,A,H,H,B,B,A,H,A,A,B,B,B,B,A,H
D1M218,1,52.8002,H,H,H,H,H,B,A,A,B,A,H,H,H,A,H,B,A,H,H,A,A,H,A,H,H,H,H,A,H,B,H,B,A,B,B,B,H,B,A,B,B,A,A,B,B,A,B,A,H,A,B,B,A,B,B,H,A,B,H,A,B,H,B,H,H,B,H,A,A,H,H,B,H,H,H,H,B,B,B,H,B,A,H,H,H,B,H,B,H,H,H,H,H,A,B,-,-,H,A,A,H,H,H,H,H,A,H,B,B,B,A,H,A,A,H,B,B,B,A,H
D1M451,1,70.11204,B,H,H,B,H,B,A,A,H,A,H,H,B,A,H,H,H,H,B,A,A,H,H,H,B,H,H,A,H,H,A,H,A,B,B,B,H,H,A,B,H,A,H,B,B,H,B,A,H,A,B,H,A,B,B,B,H,H,H,A,B,H,B,A,H,B,H,H,H,H,H,H,H,H,A,H,B,B,H,H,B,A,H,H,B,B,B,H,B,H,A,H,H,A,B,H,H,H,H,A,A,H,H,B,A,A,A,B,H,B,A,H,A,A,H,B,B,B,A,H
D1M504,1,70.80642,B,H,H,B,H,B,A,A,H,A,H,H,B,A,H,H,H,H,B,A,A,H,H,H,B,H,H,A,H,H,A,H,A,B,B,B,A,H,A,B,H,A,H,B,B,H,B,A,H,A,B,H,A,B,B,B,H,H,H,A,B,H,B,A,H,B,H,H,H,H,H,H,H,H,A,H,B,B,H,H,B,A,H,H,B,B,B,H,B,A,A,H,H,A,B,H,H,H,H,A,A,H,H,B,A,A,A,B,H,B,A,H,A,A,H,B,B,B,A,H
D1M113,1,80.62324,H,H,B,B,H,B,H,H,H,A,H,H,B,A,H,H,H,H,B,A,H,H,B,H,B,H,H,A,H,H,A,H,H,B,B,B,A,H,A,B,H,A,A,B,B,H,B,A,H,A,B,H,A,B,B,B,B,H,H,A,H,H,B,A,A,H,H,H,B,H,H,A,H,H,A,H,H,B,H,A,B,A,B,H,H,B,B,H,B,A,A,H,H,A,B,H,H,H,H,A,A,B,H,H,A,A,H,B,H,B,A,H,A,A,H,B,B,H,A,H
D1M355,1,81.39623,H,H,B,B,H,B,H,H,H,A,H,H,B,A,H,H,H,H,B,A,H,H,B,H,B,H,H,A,H,H,A,H,H,B,B,B,A,H,A,B,H,A,A,B,B,H,B,A,H,A,B,H,A,B,B,B,B,H,H,A,H,H,B,A,A,H,H,B,B,H,H,A,H,H,A,H,H,B,H,A,B,A,B,H,H,B,B,H,B,A,A,H,H,A,H,H,H,H,H,A,A,B,H,H,A,A,H,B,H,B,A,H,A,A,H,B,B,H,A,H
