T264,id
118.317,1
264,2
194.917,3
264,4
145.417,5
177.233,6
264,7
76.667,8
90.75,9
76.167,10
104.083,11
194.5,12
75.917,13
75.833,14
90.25,15
103.667,16
128.4,17
122.25,18
264,19
72.6,20
264,21
264,22
264,23
81.717,24
264,25
264,26
116.483,27
87.467,28
264,29
NA,30
74.417,31
264,32
264,33
174.567,34
88.583,35
264,36
95,37
264,38
86.05,39
71.517,40
112.767,41
264,42
264,43
117.817,44
185.3,45
85.367,46
264,47
70.883,48
98.45,49
85.1,50
216.367,51
94.65,52
111.817,53
90.9,54
264,55
170.517,56
111.717,57
264,58
75.383,59
84.35,60
97.667,61
97.783,62
264,63
90.433,64
264,65
90.05,66
90.083,67
90.117,68
264,69
71.967,70
264,71
NA,72
264,73
264,74
74.267,75
NA,76
NA,77
264,78
264,79
264,80
109.867,81
264,82
264,83
96.017,84
136.417,85
168.25,86
120.7,87
114.55,88
94.033,89
67.683,90
93.833,91
93.867,92
139.867,93
117.933,94
77.8,95
117.833,96
264,97
77.733,98
93.183,99
77.633,100
77.55,101
264,102
117.433,103
93.067,104
99.867,105
82.333,106
163.75,107
82.017,108
264,109
264,110
91.283,111
140.767,112
81.733,113
75.667,114
76.483,115
116.467,116
116.517,117
139.55,118
264,119
116.2,120
