#  123456789 -filetype Rmap.out
-s
-f 1
-p 0.0000
-u c
#
-c 20
-i 133
-m 6.65
-vm 3.407
-d 9.772
-vd 7.897
-t 0.0000
#
          |   Chromosome----> 
--------------------------------------
Marker    |   1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
--------------------------------------
-l      0 |  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
-l      1 |  0.9967536 27.9417064 32.4783882 19.1607206  6.1039605  8.1875357 18.7885087  1.3398699  4.2182318 24.7474504 15.1539431  6.1792124  0.2867510 23.9074712 13.4619485 16.7668399 11.7282258  0.6855995 16.3639828 42.3459320
-l      2 | 23.8509792 19.1637062 11.4596427 16.1601357 13.1193933  5.6846457 16.1221119 10.0810417 10.4974172 15.9623767 11.2675432 15.4012984 10.0791319  8.8793169  5.3288609  9.4645074  5.6070484 16.2982635 16.4653662  0.0000000
-l      3 | 15.5658758 20.1564360 13.6553468 32.7823013  0.3254718  7.2219207  6.1198563 15.7197468 12.6085169  8.0202172 12.0999664  7.5035326  2.6839443 12.7634295  0.5739168 15.5676630 21.5127908  3.9160342 11.6649684           
-l      4 |  9.5810706 10.1362046  5.5920221  0.0000000  4.1683158 10.7009530 19.0836109  5.8455875  5.6322736 12.3261687  3.6399397 12.7116453  0.0010000  0.0000000  4.5490015  0.0000000  0.0000000  0.0000000  0.0000000           
-l      5 |  2.8055196 13.4582441  7.6535992             1.7829509  3.3507372 11.9701544 17.8773921 12.3792292  0.0000000 22.1834165 12.6601335  5.8580105             1.2127739                                                       
-l      6 | 17.3118391  0.0000000  0.0000000             5.3965596  2.3841070  0.0000000  0.0000000  7.1683687             0.0000000  0.0000000  2.1037469             6.1495635                                                       
-l      7 |  0.6943776                                   0.0010000  3.7174606                        0.0000000                                   3.8627241            11.6960048                                                       
-l      8 |  9.8168200                                   2.0075668  0.4033678                                                                    1.2842319             0.0000000                                                       
-l      9 |  0.7729958                                   5.1628554  3.6540485                                                                    2.2331617                                                                             
-l      10 |  3.5385111                                   5.9556887  3.7051054                                                                    0.0010000                                                                             
-l      11 |  7.7491953                                   6.9609442  0.3610114                                                                    7.5933698                                                                             
-l      12 |  0.9594980                                  10.8914273  1.3915453                                                                    0.0000000                                                                             
-l      13 |  0.0000000                                   0.0000000  0.0000000                                                                                                                                                          
---------------------------------------
-Number   | 13  6  6  4  13  13  6  6  7  5  6  6  12  4  8  4  4  4  4  2
Names and positions of the markers
Chrom  Mark  Name
-b MarkerNames
1 1 D10M44
1 2 D1M3
1 3 D1M75
1 4 D1M215
1 5 D1M309
1 6 D1M218
1 7 D1M451
1 8 D1M504
1 9 D1M113
1 10 D1M355
1 11 D1M291
1 12 D1M209
1 13 D1M155
2 1 D2M365
2 2 D2M37
2 3 D2M396
2 4 D2M493
2 5 D2M226
2 6 D2M148
3 1 D3M265
3 2 D3M51
3 3 D3M106
3 4 D3M257
3 5 D3M147
3 6 D3M19
4 1 D4M2
4 2 D4M178
4 3 D4M187
4 4 D4M251
5 1 D5M148
5 2 D5M232
5 3 D5M257
5 4 D5M83
5 5 D5M307
5 6 D5M357
5 7 D5M205
5 8 D5M398
5 9 D5M91
5 10 D5M338
5 11 D5M188
5 12 D5M29
5 13 D5M168
6 1 D6M223
6 2 D6M188
6 3 D6M284
6 4 D6M39
6 5 D6M254
6 6 D6M194
6 7 D6M290
6 8 D6M25
6 9 D6M339
6 10 D6M59_
6 11 D6M201
6 12 D6M15
6 13 D6M294
7 1 D7M246
7 2 D7M145
7 3 D7M62
7 4 D7M126
7 5 D7M105
7 6 D7M259
8 1 D8M94
8 2 D8M339
8 3 D8M178
8 4 D8M242
8 5 D8M213
8 6 D8M156
9 1 D9M247
9 2 D9M328
9 3 D9M106
9 4 D9M269
9 5 D9M346
9 6 D9M55
9 7 D9M18
10 1 D10M298
10 2 D10M294
10 3 D10M42_
10 4 D10M10
10 5 D10M233
11 1 D11M78
11 2 D11M20
11 3 D11M242
11 4 D11M356
11 5 D11M327
11 6 D11M333
12 1 D12M105
12 2 D12M46
12 3 D12M34
12 4 D12M5
12 5 D12M99
12 6 D12M150
13 1 D13M59
13 2 D13M88
13 3 D13M21
13 4 D13M39
13 5 D13M167
13 6 D13M99
13 7 D13M233
13 8 D13M106
13 9 D13M147
13 10 D13M226
13 11 D13M290
13 12 D13M151
14 1 D14M14
14 2 D14M115
14 3 D14M265
14 4 D14M266
15 1 D15M226
15 2 D15M100
15 3 D15M209
15 4 D15M144
15 5 D15M68
15 6 D15M239
15 7 D15M241
15 8 D15M34
16 1 D16M154
16 2 D16M4
16 3 D16M139
16 4 D16M86
17 1 D17M260
17 2 D17M66
17 3 D17M88
17 4 D17M129
18 1 D18M94
18 2 D18M58
18 3 D18M106
18 4 D18M186
19 1 D19M68
19 2 D19M117
19 3 D19M65
19 4 D19M10
20 1 DXM186
20 2 DXM64
-e MarkerNames
Names of the Chromosomes
-b ChromosomeNames
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 X
-e ChromosomeNames
